contract_id,plan_id,rebate_pmpm,ab_pmpm_payment,risk_score,year,source_file,source_sheet
H0028,001,44.35,685.75,0.834,2014,2014PartCPlan Level.xlsx,result.srx
H0028,002,49.83,744.91,0.924,2014,2014PartCPlan Level.xlsx,result.srx
H0028,003,30.69,778.05,0.921,2014,2014PartCPlan Level.xlsx,result.srx
H0028,004,48.97,720.07,0.836,2014,2014PartCPlan Level.xlsx,result.srx
H0028,005,30.81,753.95,0.682,2014,2014PartCPlan Level.xlsx,result.srx
H0084,001,72.09,666.17,0.814,2014,2014PartCPlan Level.xlsx,result.srx
H0084,004,77.65,701.59,1.419,2014,2014PartCPlan Level.xlsx,result.srx
H0084,014,41.4,745.69,1.944,2014,2014PartCPlan Level.xlsx,result.srx
H0084,035,74.08,624.53,1.186,2014,2014PartCPlan Level.xlsx,result.srx
H0084,064,66.76,613.91,0.783,2014,2014PartCPlan Level.xlsx,result.srx
H0084,065,93.37,650.43,1.319,2014,2014PartCPlan Level.xlsx,result.srx
H0104,010,15.35,799.71,1.02,2014,2014PartCPlan Level.xlsx,result.srx
H0104,011,29.78,747.19,0.837,2014,2014PartCPlan Level.xlsx,result.srx
H0107,001,58.52,669.37,0.671,2014,2014PartCPlan Level.xlsx,result.srx
H0107,002,50.6,680.81,0.803,2014,2014PartCPlan Level.xlsx,result.srx
H0108,004,60.16,721.88,0.817,2014,2014PartCPlan Level.xlsx,result.srx
H0108,005,113.11,642.15,1.01,2014,2014PartCPlan Level.xlsx,result.srx
H0108,006,129.39,610.47,0.988,2014,2014PartCPlan Level.xlsx,result.srx
H0108,008,99.13,631.38,0.952,2014,2014PartCPlan Level.xlsx,result.srx
H0108,009,110.63,615.05,1.089,2014,2014PartCPlan Level.xlsx,result.srx
H0108,010,57.89,749.02,0.997,2014,2014PartCPlan Level.xlsx,result.srx
H0108,011,123.43,670.56,1.007,2014,2014PartCPlan Level.xlsx,result.srx
H0108,013,132.52,591.67,0.974,2014,2014PartCPlan Level.xlsx,result.srx
H0108,021,88.93,668.78,0.947,2014,2014PartCPlan Level.xlsx,result.srx
H0108,022,88.36,684.52,0.854,2014,2014PartCPlan Level.xlsx,result.srx
H0108,023,81.73,792.49,0.958,2014,2014PartCPlan Level.xlsx,result.srx
H0108,024,79.14,773.76,0.808,2014,2014PartCPlan Level.xlsx,result.srx
H0108,025,79.91,757.67,0.868,2014,2014PartCPlan Level.xlsx,result.srx
H0108,026,75.45,745.22,0.778,2014,2014PartCPlan Level.xlsx,result.srx
H0108,027,59.39,751.24,0.835,2014,2014PartCPlan Level.xlsx,result.srx
H0108,028,66.4,744.98,0.828,2014,2014PartCPlan Level.xlsx,result.srx
H0108,029,115.19,595.89,0.813,2014,2014PartCPlan Level.xlsx,result.srx
H0108,034,70.57,721.04,0.953,2014,2014PartCPlan Level.xlsx,result.srx
H0108,035,83.17,740.12,0.807,2014,2014PartCPlan Level.xlsx,result.srx
H0108,036,85.58,642.19,0.698,2014,2014PartCPlan Level.xlsx,result.srx
H0108,037,80.2,698.04,0.674,2014,2014PartCPlan Level.xlsx,result.srx
H0108,038,88.51,704.17,0.801,2014,2014PartCPlan Level.xlsx,result.srx
H0108,039,89.69,735.1,0.695,2014,2014PartCPlan Level.xlsx,result.srx
H0108,040,68.87,725.34,0.701,2014,2014PartCPlan Level.xlsx,result.srx
H0108,041,76.82,756.33,0.656,2014,2014PartCPlan Level.xlsx,result.srx
H0108,042,64.84,812.67,0.814,2014,2014PartCPlan Level.xlsx,result.srx
H0108,043,54.98,765.93,0.705,2014,2014PartCPlan Level.xlsx,result.srx
H0108,044,65.48,712.99,0.828,2014,2014PartCPlan Level.xlsx,result.srx
H0108,045,29.78,756.46,0.716,2014,2014PartCPlan Level.xlsx,result.srx
H0108,046,47.84,735.98,0.848,2014,2014PartCPlan Level.xlsx,result.srx
H0108,801,0.0,882.14,0.946,2014,2014PartCPlan Level.xlsx,result.srx
H0117,005,62.92,700.24,1.047,2014,2014PartCPlan Level.xlsx,result.srx
H0117,007,20.81,784.04,1.265,2014,2014PartCPlan Level.xlsx,result.srx
H0141,001,58.98,696.33,1.108,2014,2014PartCPlan Level.xlsx,result.srx
H0141,002,49.31,721.2,0.875,2014,2014PartCPlan Level.xlsx,result.srx
H0150,001,85.99,664.91,1.039,2014,2014PartCPlan Level.xlsx,result.srx
H0150,007,87.13,701.9,1.342,2014,2014PartCPlan Level.xlsx,result.srx
H0150,012,51.44,722.14,0.925,2014,2014PartCPlan Level.xlsx,result.srx
H0150,804,122.23,669.09,1.467,2014,2014PartCPlan Level.xlsx,result.srx
H0151,001,51.97,690.63,1.071,2014,2014PartCPlan Level.xlsx,result.srx
H0151,015,24.76,756.27,1.386,2014,2014PartCPlan Level.xlsx,result.srx
H0151,025,67.43,692.71,1.077,2014,2014PartCPlan Level.xlsx,result.srx
H0151,801,38.47,708.88,0.861,2014,2014PartCPlan Level.xlsx,result.srx
H0154,001,81.46,705.07,0.949,2014,2014PartCPlan Level.xlsx,result.srx
H0154,008,83.6,703.3,0.993,2014,2014PartCPlan Level.xlsx,result.srx
H0154,011,70.08,736.19,1.077,2014,2014PartCPlan Level.xlsx,result.srx
H0154,012,89.15,725.55,1.3,2014,2014PartCPlan Level.xlsx,result.srx
H0154,014,123.54,657.91,0.998,2014,2014PartCPlan Level.xlsx,result.srx
H0248,001,7.8,768.47,0.849,2014,2014PartCPlan Level.xlsx,result.srx
H0251,002,48.77,702.74,1.312,2014,2014PartCPlan Level.xlsx,result.srx
H0294,002,84.78,717.87,1.361,2014,2014PartCPlan Level.xlsx,result.srx
H0294,004,63.22,682.98,0.785,2014,2014PartCPlan Level.xlsx,result.srx
H0294,006,20.05,783.12,1.337,2014,2014PartCPlan Level.xlsx,result.srx
H0302,001,99.7,685.73,0.988,2014,2014PartCPlan Level.xlsx,result.srx
H0302,006,48.2,734.3,0.643,2014,2014PartCPlan Level.xlsx,result.srx
H0302,007,108.16,694.65,1.074,2014,2014PartCPlan Level.xlsx,result.srx
H0303,013,79.4,737.03,0.945,2014,2014PartCPlan Level.xlsx,result.srx
H0303,015,46.03,753.42,0.996,2014,2014PartCPlan Level.xlsx,result.srx
H0303,801,62.05,743.73,1.269,2014,2014PartCPlan Level.xlsx,result.srx
H0303,804,15.09,814.82,0.97,2014,2014PartCPlan Level.xlsx,result.srx
H0303,805,34.87,788.49,0.777,2014,2014PartCPlan Level.xlsx,result.srx
H0316,002,60.06,736.51,0.853,2014,2014PartCPlan Level.xlsx,result.srx
H0316,014,23.38,755.86,0.882,2014,2014PartCPlan Level.xlsx,result.srx
H0317,001,0.0,827.06,0.993,2014,2014PartCPlan Level.xlsx,result.srx
H0317,004,0.0,841.41,0.931,2014,2014PartCPlan Level.xlsx,result.srx
H0317,006,0.0,797.64,0.916,2014,2014PartCPlan Level.xlsx,result.srx
H0317,007,0.0,811.48,1.019,2014,2014PartCPlan Level.xlsx,result.srx
