fips,year,ma_total_from_plans,sumsq_enroll,hhi,ma_enrollment,eligibles,ma_share,plan_count,ffs_cost,ffs_quartile,treated_competitive,control_uncompetitive,treated
01001,2018,4996.0,2587838.0,0.1036793405901662,4960.0,10983.0,0.4516070290448875,433,,,1,0,1
01003,2018,22587.0,64950053.0,0.1273099671495666,21917.0,51239.0,0.4277405882238139,526,,,1,0,1
01005,2018,2492.0,852992.0,0.1373563943946471,2371.0,6540.0,0.3625382262996942,419,,,1,0,1
01007,2018,2328.0,715124.0,0.1319518250847297,2514.0,5026.0,0.5001989653800238,430,,,1,0,1
01009,2018,6603.0,5043839.0,0.1156854181880392,6560.0,12736.0,0.5150753768844221,431,,,1,0,1
01011,2018,887.0,110753.0,0.1407693999128079,878.0,2144.0,0.4095149253731343,417,,,1,0,1
01013,2018,1108.0,295918.0,0.2410415227619283,1073.0,4922.0,0.2180008126777732,412,,,0,1,0
01017,2018,2490.0,1909362.0,0.3079566458605506,2496.0,9034.0,0.2762895727252601,419,,,0,1,0
01019,2018,2416.0,812798.0,0.1392479359457918,2371.0,7198.0,0.3293970547374271,417,,,1,0,1
01021,2018,5319.0,3263231.0,0.1153420955309215,5321.0,9473.0,0.5617016784545551,427,,,1,0,1
01023,2018,742.0,138538.0,0.2516292383810056,755.0,3871.0,0.1950400413329888,392,,,0,1,0
01025,2018,2786.0,1874518.0,0.2415057030615079,2672.0,6550.0,0.4079389312977099,414,,,0,1,0
01029,2018,749.0,146885.0,0.2618266277600218,741.0,3572.0,0.2074468085106383,411,,,0,1,0
01033,2018,3659.0,1859461.0,0.1388872103894443,3521.0,14075.0,0.2501598579040852,413,,,1,0,1
01039,2018,1919.0,943573.0,0.2562273917526417,1948.0,9897.0,0.1968273214105284,416,,,0,1,0
01043,2018,7369.0,5784233.0,0.106519388795595,7114.0,19825.0,0.3588398486759142,409,,,1,0,1
01047,2018,3833.0,2105785.0,0.1433297651513702,3588.0,10049.0,0.3570504527813712,421,,,1,0,1
01049,2018,4617.0,3125763.0,0.1466345453555193,4568.0,15801.0,0.2890956268590595,425,,,1,0,1
01051,2018,7254.0,6062656.0,0.1152146816652273,7018.0,17052.0,0.4115646258503401,431,,,1,0,1
01053,2018,3164.0,1286034.0,0.1284634262507571,3061.0,8927.0,0.3428923490534334,435,,,1,0,1
01055,2018,10304.0,11887026.0,0.1119596449608907,10028.0,25988.0,0.3858704017238725,432,,,1,0,1
01061,2018,1844.0,485294.0,0.1427194253744335,1691.0,6990.0,0.2419170243204578,419,,,1,0,1
01069,2018,7992.0,8402404.0,0.1315505320134949,7509.0,23728.0,0.3164615643964936,429,,,1,0,1
01073,2018,68763.0,468426409.0,0.0990676223751566,69249.0,133099.0,0.5202818954312204,500,,,1,0,1
01075,2018,613.0,89489.0,0.2381489691805338,619.0,3902.0,0.1586365966171194,405,,,0,1,0
01077,2018,6049.0,5037327.0,0.1376679911214965,5869.0,22004.0,0.2667242319578258,415,,,1,0,1
01079,2018,2421.0,565295.0,0.0964462986592771,2345.0,7907.0,0.2965726571392437,422,,,1,0,1
01083,2018,5528.0,3253096.0,0.1064537122943111,5363.0,17556.0,0.3054796081111871,411,,,1,0,1
01085,2018,1534.0,322666.0,0.1371205308955292,1557.0,2908.0,0.5354195323246217,425,,,1,0,1
01089,2018,18173.0,33497109.0,0.1014271151685203,17634.0,64556.0,0.2731581882396678,481,,,1,0,1
01091,2018,1097.0,299983.0,0.2492776769992579,1118.0,5497.0,0.2033836638166272,392,,,0,1,0
01093,2018,1501.0,548835.0,0.2436017560578091,1551.0,7332.0,0.2115384615384615,413,,,0,1,0
