fips,year,n_plans,bid_mean_unweighted,w_sum,wx_sum,bid_mean_weighted
01001,2018,166,800.0877710843374,4996.0,3515860.6100000003,703.7351100880705
01003,2018,253,765.72604743083,22598.333333333332,15321541.540000001,677.9943155099935
01005,2018,158,800.8061392405064,2515.5,1783860.505,709.1474875770224
01007,2018,162,801.2697530864198,2328.0,1550612.57,666.070691580756
01009,2018,168,793.2939285714286,6603.0,4478107.76,678.1929062547326
01011,2018,156,804.7525641025641,887.0,633488.56,714.1922886133033
01013,2018,151,807.2770198675497,1108.0,873480.52,788.3398194945848
01015,2018,165,802.5257575757576,7528.0,5765873.73,765.9237154622742
01017,2018,154,806.501038961039,2490.0,1919297.14,770.8020642570281
01019,2018,156,804.3731410256411,2416.0,1802329.43,745.997280629139
01021,2018,164,796.9939024390244,5319.0,3533735.85,664.3609419063733
01023,2018,144,811.2100694444445,755.0,595869.73,789.2314304635761
01025,2018,162,797.2724074074074,2786.0,1994357.87,715.8499174443647
01027,2018,154,804.7219480519481,1250.0,912498.8,729.99904
01029,2018,150,810.3562,749.0,593664.38,792.6093190921229
01031,2018,161,801.6104347826086,2759.0,2038040.81,738.6882239942008
01033,2018,164,800.6955487804878,3670.7,2799291.69,762.6043234260495
01035,2018,146,813.6295890410959,820.0,636355.11,776.0428170731707
01037,2018,150,806.0562666666667,899.0,649224.79,722.1632814238043
01039,2018,155,804.9318064516128,1919.0,1523860.22,794.0907868681605
01041,2018,152,806.1193421052632,1281.0,971795.6799999999,758.6227010148322
01043,2018,161,797.0741614906832,7369.0,5204246.96,706.235168951011
01045,2018,161,801.3213043478261,2629.0,1906839.35,725.3097565614303
01047,2018,160,801.125625,3833.0,2642514.72,689.4116149230368
01049,2018,164,797.0017073170732,4617.0,3392567.03,734.7990101797703
01051,2018,170,793.3352352941176,7254.0,5339275.46,736.0456934105321
01053,2018,164,798.8415243902439,3164.0,2214458.24,699.89198482933
01055,2018,170,791.8274705882353,10304.0,7780982.77,755.1419613742236
01057,2018,156,805.7694230769231,1237.0,950779.14,768.6169280517381
01059,2018,152,805.1342763157895,1378.0,1088398.1099999999,789.8389767779389
01061,2018,154,803.0715584415585,1844.0,1328970.92,720.7000650759219
01063,2018,143,812.1780419580421,497.0,399609.45999999996,804.0431790744466
01065,2018,152,802.26,896.0,717882.31,801.2079352678572
01067,2018,152,806.4016447368422,1828.0,1319275.41,721.704272428884
01069,2018,168,791.9624404761905,8003.0,5629413.75,703.4129388979133
01071,2018,161,798.0172670807453,3644.0,2704263.83,742.1141136114161
01073,2018,232,762.7226293103448,68774.0,47214216.06,686.5125782999389
01075,2018,144,814.1922222222222,613.0,491073.17,801.0981566068515
01077,2018,166,793.6430120481928,6049.0,4645859.54,768.0376161348984
01079,2018,160,801.1134374999999,2421.0,1854364.85,765.9499586947543
01081,2018,170,795.9905882352941,7911.0,6266761.99,792.158006573126
01083,2018,162,795.1887037037037,5528.0,4239246.51,766.8680372648336
01085,2018,158,801.3831012658228,1534.0,1039077.66,677.3648370273794
01087,2018,158,803.3551898734177,1943.2,1349991.698,694.7260693701112
01089,2018,217,775.9878801843317,18173.0,13353515.34,734.799721564959
01091,2018,144,811.4606944444445,1097.0,855835.53,780.1600091157703
01093,2018,152,806.719802631579,1513.5,1188511.9849999999,785.2738586058804
01095,2018,167,795.5847904191617,5503.0,4159938.55,755.9401326549155
01097,2018,224,776.6069642857143,45704.0,30438272.72,665.9870628391387
01099,2018,148,807.9553378378379,1416.0,1097331.56,774.9516666666667
01101,2018,183,790.7681420765027,20049.5,14254939.94,710.9873034240255
01103,2018,157,801.1700636942675,7376.722222222222,5741750.3149999995,778.3606515239379
01105,2018,147,812.2146258503402,438.0,351319.14,802.0984931506849
01107,2018,150,808.7044666666667,1015.5,808813.345,796.468089611029
