fips,year,plan_count
01001,2014,17
01003,2014,58
01005,2014,10
01007,2014,12
01009,2014,18
01011,2014,10
01013,2014,7
01015,2014,19
01017,2014,7
01019,2014,13
01021,2014,15
01023,2014,5
01025,2014,10
01027,2014,9
01029,2014,8
01031,2014,12
01033,2014,15
01035,2014,4
01037,2014,5
01039,2014,9
01041,2014,11
01043,2014,19
01045,2014,11
01047,2014,14
01049,2014,17
01051,2014,19
01053,2014,13
01055,2014,16
01057,2014,14
01059,2014,8
01061,2014,7
01063,2014,6
01065,2014,6
01067,2014,8
01069,2014,12
01071,2014,19
01073,2014,57
01075,2014,7
01077,2014,14
01079,2014,8
01081,2014,23
01083,2014,22
01085,2014,14
01087,2014,12
01089,2014,43
01091,2014,9
01093,2014,14
01095,2014,13
01097,2014,48
01099,2014,6
01101,2014,29
01103,2014,20
01105,2014,5
01107,2014,6
01109,2014,9
01111,2014,9
01113,2014,14
01115,2014,20
01117,2014,34
01119,2014,4
01121,2014,16
01123,2014,10
01125,2014,18
01127,2014,18
01129,2014,6
01131,2014,6
01133,2014,7
02020,2014,5
02090,2014,2
02110,2014,2
02122,2014,5
02130,2014,1
02170,2014,3
02240,2014,1
02261,2014,1
04001,2014,15
04003,2014,39
04005,2014,30
04007,2014,29
04009,2014,11
04011,2014,6
04012,2014,30
04013,2014,300
04015,2014,81
04017,2014,25
04019,2014,163
04021,2014,115
04023,2014,22
04025,2014,97
04027,2014,48
05001,2014,12
05003,2014,14
05005,2014,38
05007,2014,56
05009,2014,30
05011,2014,13
05013,2014,10
05015,2014,32
05017,2014,13
05019,2014,21
05021,2014,10
05023,2014,27
05025,2014,12
05027,2014,15
05029,2014,22
05031,2014,23
05033,2014,27
05035,2014,22
05037,2014,20
05039,2014,17
05041,2014,11
05043,2014,8
05045,2014,28
05047,2014,21
05049,2014,24
05051,2014,35
05053,2014,15
05055,2014,23
05057,2014,14
05059,2014,20
05061,2014,13
05063,2014,17
05065,2014,21
05067,2014,14
05069,2014,27
05071,2014,21
05073,2014,10
05075,2014,16
05077,2014,18
05079,2014,17
05081,2014,15
05083,2014,24
05085,2014,24
05087,2014,15
05089,2014,24
05091,2014,22
05093,2014,15
05095,2014,15
05097,2014,23
05099,2014,15
05101,2014,18
05103,2014,22
05105,2014,19
05107,2014,18
05109,2014,16
05111,2014,16
05113,2014,20
05115,2014,22
05117,2014,11
05119,2014,48
05121,2014,23
05123,2014,20
05125,2014,33
05127,2014,19
05129,2014,18
05131,2014,36
05133,2014,15
05135,2014,26
05137,2014,16
05139,2014,16
05141,2014,25
05143,2014,41
05145,2014,28
05147,2014,16
05149,2014,17
06001,2014,129
06003,2014,2
06005,2014,26
06007,2014,6
06009,2014,5
06011,2014,3
06013,2014,128
06015,2014,7
06017,2014,52
06019,2014,99
06021,2014,3
06023,2014,14
06025,2014,15
06027,2014,3
06029,2014,107
06031,2014,23
06033,2014,5
06035,2014,2
06037,2014,324
06039,2014,42
06041,2014,39
06043,2014,21
06045,2014,16
06047,2014,17
06049,2014,2
06051,2014,1
06053,2014,19
06055,2014,25
06057,2014,21
06059,2014,254
06061,2014,65
06063,2014,4
06065,2014,230
06067,2014,109
06069,2014,3
06071,2014,223
06073,2014,211
06075,2014,107
06077,2014,89
06079,2014,34
06081,2014,79
06083,2014,52
06085,2014,173
06087,2014,32
06089,2014,20
06091,2014,1
06093,2014,4
06095,2014,56
06097,2014,67
06099,2014,109
06101,2014,19
06103,2014,5
06105,2014,5
06107,2014,51
06109,2014,7
06111,2014,101
06113,2014,51
06115,2014,20
08001,2014,68
08003,2014,23
08005,2014,68
08007,2014,18
08011,2014,14
08013,2014,66
08014,2014,43
08015,2014,23
08017,2014,11
08019,2014,30
08021,2014,21
08023,2014,22
08025,2014,20
08027,2014,21
08029,2014,22
08031,2014,74
08033,2014,11
08035,2014,71
08037,2014,14
08039,2014,30
08041,2014,96
08043,2014,39
08045,2014,16
08047,2014,24
08049,2014,21
08051,2014,13
08053,2014,11
08055,2014,21
08057,2014,11
08059,2014,79
08061,2014,11
08063,2014,12
08065,2014,13
08067,2014,15
08069,2014,66
08071,2014,19
08073,2014,12
08075,2014,22
08077,2014,38
08079,2014,16
08081,2014,14
08083,2014,12
08085,2014,24
08087,2014,24
08089,2014,23
08091,2014,11
08093,2014,27
08095,2014,11
08097,2014,12
08099,2014,14
08101,2014,45
08103,2014,12
08105,2014,17
08107,2014,12
08109,2014,18
08111,2014,11
08113,2014,11
08115,2014,12
08117,2014,20
08119,2014,28
08121,2014,12
08123,2014,63
08125,2014,14
09001,2014,68
09003,2014,69
09005,2014,27
09007,2014,25
09009,2014,61
09011,2014,35
09013,2014,26
09015,2014,28
10001,2014,29
10003,2014,57
10005,2014,32
11001,2014,43
12001,2014,38
12003,2014,16
12005,2014,38
12007,2014,15
12009,2014,192
12011,2014,389
12013,2014,15
12015,2014,133
12017,2014,111
12019,2014,65
12021,2014,132
12023,2014,17
12027,2014,25
12029,2014,8
12031,2014,152
12033,2014,65
12035,2014,71
12037,2014,14
12039,2014,18
12041,2014,13
12043,2014,28
12045,2014,14
12047,2014,8
12049,2014,20
12051,2014,26
12053,2014,149
12055,2014,60
12057,2014,294
12059,2014,20
12061,2014,84
12063,2014,16
12065,2014,13
12067,2014,9
12069,2014,189
12071,2014,235
12073,2014,43
12075,2014,29
12077,2014,13
12079,2014,14
12081,2014,172
12083,2014,185
12085,2014,115
12086,2014,342
12087,2014,38
12089,2014,40
12091,2014,45
12093,2014,43
12095,2014,268
12097,2014,185
12099,2014,323
12101,2014,256
12103,2014,308
12105,2014,237
12107,2014,43
12109,2014,71
12111,2014,164
12113,2014,38
12115,2014,188
12117,2014,180
12119,2014,127
12121,2014,14
12123,2014,7
12125,2014,12
12127,2014,213
12129,2014,19
12131,2014,27
12133,2014,17
13001,2014,10
13003,2014,9
13005,2014,10
13007,2014,7
13009,2014,11
13011,2014,9
13013,2014,26
13015,2014,26
13017,2014,14
13019,2014,9
13021,2014,27
13023,2014,8
13025,2014,12
13027,2014,8
13029,2014,15
13031,2014,15
13033,2014,15
13035,2014,21
13037,2014,9
13039,2014,20
13043,2014,7
13045,2014,21
13047,2014,25
13049,2014,8
13051,2014,57
13053,2014,19
13055,2014,16
13057,2014,52
13059,2014,27
13061,2014,8
13063,2014,60
13065,2014,9
13067,2014,81
13069,2014,10
13071,2014,9
13073,2014,28
13075,2014,10
13077,2014,31
13079,2014,12
13081,2014,15
13083,2014,17
13085,2014,13
13087,2014,14
13089,2014,91
13091,2014,8
13093,2014,9
13095,2014,13
13097,2014,32
13099,2014,8
13101,2014,7
13103,2014,16
13105,2014,13
13107,2014,13
13109,2014,12
13111,2014,15
13113,2014,36
13115,2014,22
13117,2014,58
13119,2014,14
13121,2014,113
13123,2014,17
13125,2014,9
13127,2014,24
13129,2014,14
13131,2014,13
13133,2014,19
13135,2014,100
13137,2014,17
13139,2014,33
13141,2014,16
13143,2014,11
13145,2014,19
13147,2014,13
13149,2014,13
13151,2014,55
13153,2014,18
13155,2014,11
13157,2014,22
13159,2014,10
13161,2014,12
13163,2014,12
13165,2014,7
13167,2014,9
13169,2014,19
13171,2014,12
13173,2014,10
13175,2014,15
13177,2014,8
13179,2014,20
13181,2014,10
13183,2014,10
13185,2014,18
13187,2014,17
13189,2014,16
13191,2014,16
13193,2014,10
13195,2014,13
13197,2014,14
13199,2014,18
13201,2014,7
13205,2014,8
13207,2014,21
13209,2014,6
13211,2014,18
13213,2014,11
13215,2014,49
13217,2014,36
13219,2014,16
13221,2014,13
13223,2014,36
13225,2014,14
13227,2014,19
13229,2014,8
13231,2014,9
13233,2014,14
13235,2014,11
13237,2014,13
13239,2014,11
13241,2014,14
13243,2014,12
13245,2014,27
13247,2014,38
13249,2014,11
13251,2014,14
13253,2014,9
13255,2014,26
13257,2014,20
13259,2014,12
13261,2014,12
13263,2014,16
13265,2014,11
13267,2014,14
13269,2014,10
13271,2014,8
13273,2014,10
13275,2014,11
13277,2014,12
13279,2014,11
13281,2014,20
13283,2014,12
13285,2014,19
13287,2014,12
13289,2014,13
13291,2014,12
13293,2014,14
13295,2014,20
13297,2014,26
13299,2014,18
13301,2014,9
13303,2014,15
13305,2014,13
13307,2014,9
13309,2014,6
13311,2014,16
13313,2014,16
13315,2014,10
13317,2014,8
13319,2014,9
13321,2014,11
15001,2014,33
15003,2014,61
15005,2014,6
15007,2014,22
15009,2014,32
16001,2014,65
16003,2014,8
16005,2014,24
16007,2014,2
16009,2014,10
16011,2014,18
16013,2014,11
16015,2014,16
16017,2014,24
16019,2014,29
16021,2014,16
16023,2014,1
16025,2014,3
16027,2014,46
16029,2014,10
16031,2014,13
16033,2014,11
16035,2014,2
16037,2014,2
16039,2014,16
16041,2014,2
16043,2014,16
16045,2014,21
16047,2014,13
16049,2014,6
16051,2014,20
16053,2014,15
16055,2014,35
16057,2014,12
16059,2014,5
16061,2014,4
16063,2014,2
16065,2014,15
16067,2014,16
16069,2014,14
16071,2014,7
16073,2014,15
16075,2014,17
16077,2014,16
16079,2014,12
16081,2014,8
16083,2014,23
16085,2014,13
16087,2014,13
17001,2014,13
17003,2014,5
17005,2014,11
17007,2014,18
17009,2014,12
17011,2014,20
17013,2014,8
17015,2014,11
17017,2014,16
17019,2014,17
17021,2014,16
17023,2014,11
17025,2014,10
17027,2014,7
17029,2014,16
17031,2014,164
17033,2014,10
17035,2014,10
17037,2014,9
17039,2014,18
17041,2014,19
17043,2014,70
17045,2014,14
17047,2014,5
17049,2014,11
17051,2014,4
17053,2014,17
17055,2014,6
17057,2014,8
17059,2014,5
17061,2014,11
17063,2014,9
17065,2014,3
17067,2014,13
17069,2014,4
17071,2014,7
17073,2014,10
17075,2014,11
17077,2014,6
17079,2014,9
17081,2014,10
17083,2014,9
17085,2014,17
17087,2014,4
17089,2014,55
17091,2014,31
17093,2014,21
17095,2014,30
17097,2014,55
17099,2014,17
17101,2014,4
17103,2014,12
17105,2014,17
17107,2014,18
17109,2014,10
17111,2014,30
17113,2014,27
17115,2014,18
17117,2014,18
17119,2014,37
17121,2014,6
17123,2014,18
17125,2014,15
17127,2014,3
17129,2014,18
17131,2014,13
17133,2014,21
17135,2014,17
17137,2014,15
17139,2014,17
17141,2014,17
17143,2014,41
17145,2014,3
17147,2014,17
17149,2014,14
17151,2014,6
17153,2014,4
17155,2014,15
17157,2014,10
17159,2014,6
17161,2014,26
17163,2014,40
17165,2014,4
17167,2014,33
17169,2014,11
17171,2014,14
17173,2014,6
17175,2014,19
17177,2014,18
17179,2014,41
17181,2014,6
17183,2014,28
17185,2014,7
17187,2014,13
17189,2014,13
17191,2014,5
17193,2014,5
17195,2014,11
17197,2014,61
17199,2014,10
17201,2014,42
17203,2014,19
18001,2014,20
18003,2014,50
18005,2014,19
18007,2014,10
18009,2014,17
18011,2014,25
18013,2014,24
18015,2014,14
18017,2014,11
18019,2014,18
18021,2014,14
18023,2014,17
18025,2014,5
18027,2014,5
18029,2014,10
18031,2014,13
18033,2014,22
18035,2014,28
18037,2014,7
18039,2014,31
18041,2014,12
18043,2014,10
18045,2014,14
18047,2014,6
18049,2014,16
18051,2014,12
18053,2014,23
18055,2014,10
18057,2014,55
18059,2014,31
18061,2014,8
18063,2014,36
18065,2014,20
18067,2014,19
18069,2014,21
18071,2014,15
18073,2014,6
18075,2014,21
18077,2014,8
18079,2014,15
18081,2014,39
18083,2014,8
18085,2014,27
18087,2014,20
18089,2014,40
18091,2014,23
18093,2014,14
18095,2014,24
18097,2014,71
18099,2014,21
18101,2014,5
18103,2014,15
18105,2014,19
18107,2014,17
18109,2014,24
18111,2014,7
18113,2014,17
18115,2014,7
18117,2014,18
18119,2014,11
18121,2014,15
18123,2014,6
18125,2014,6
18127,2014,22
18129,2014,11
18131,2014,8
18133,2014,25
18135,2014,18
18137,2014,8
18139,2014,13
18141,2014,34
18143,2014,8
18145,2014,24
18147,2014,10
18149,2014,12
18151,2014,22
18153,2014,3
18155,2014,6
18157,2014,19
18159,2014,16
18161,2014,11
18163,2014,25
18165,2014,11
18167,2014,21
18169,2014,18
18171,2014,14
18173,2014,18
18175,2014,9
18177,2014,9
18179,2014,19
18181,2014,14
18183,2014,26
19001,2014,12
19003,2014,6
19005,2014,11
19007,2014,10
